TIME_INTERVAL,RESOURCE_NAME,AP_FLAG,SEC_FLAG,PSM_FLAG,DIPC_PRICE,RTD_PRICE,ADMIN_PRICE,SEC_PRICE,PSM_PRICE
08/01/2024,01MSINLO_G01,N,N,N,4003.3754,4003.3754,5102.3985,4003.3754,4003.3754
08/01/2024,01MSINLO_G02,N,N,N,4005.0705,4005.0705,5338.8482,4005.0705,4005.0705
08/01/2024,01MSINLO_G03,N,N,N,4003.3754,4003.3754,5164.3593,4003.3754,4003.3754
08/01/2024,01MSINLO_SS,N,N,N,4005.0705,4005.0705,5177.4591,4005.0705,4005.0705
08/01/2024,01NIABAL_G01,N,N,N,4292.388,4292.388,5603.4798,4292.388,4292.388
08/01/2024,01NMHC_G01,N,N,N,4189.8352,4189.8352,3527.5105,4189.8352,4189.8352
08/01/2024,01NMHC_G03,N,N,N,4189.8352,4189.8352,5423.0438,4189.8352,4189.8352
08/01/2024,01NSNMN_L01,N,N,N,4237.7214,4237.7214,5177.4591,4237.7214,4237.7214
08/01/2024,01NSNMN_L02,N,N,N,4185.5975,4185.5975,5177.4591,4185.5975,4185.5975
08/01/2024,01NSNMN_SS,N,N,N,4179.2409,4179.2409,5177.4591,4179.2409,4179.2409
08/01/2024,01NSNMN_T1L1,N,N,N,4237.7214,4237.7214,5177.4591,4237.7214,4237.7214
08/01/2024,01NWIND_G01,N,N,N,4294.0831,4294.0831,3347.5156,4294.0831,4294.0831
08/01/2024,01NWIND_G02,N,N,N,4294.0831,4294.0831,2773.2054,4294.0831,4294.0831
08/01/2024,01NWIND_L01,N,N,N,4294.0831,4294.0831,5177.4591,4294.0831,4294.0831
08/01/2024,01OLONG_SS,N,N,N,4137.7112,4137.7112,5177.4591,4137.7112,4137.7112
08/01/2024,01OLONG_T1L1,N,N,N,4143.2203,4143.2203,5177.4591,4143.2203,4143.2203
08/01/2024,01OLONG_T2L2,N,N,N,4143.2203,4143.2203,5177.4591,4143.2203,4143.2203
08/01/2024,01OLONG_T3L3,N,N,N,4143.2203,4143.2203,5177.4591,4143.2203,4143.2203
08/01/2024,01PAGCAP_L01,N,N,N,4288.5741,4288.5741,5177.4591,4288.5741,4288.5741
08/01/2024,01PAGUD_SS,N,N,N,4288.5741,4288.5741,5177.4591,4288.5741,4288.5741
08/01/2024,01PASQSOL_G01,N,N,N,4290.693,4290.693,5453.2556,4290.693,4290.693
08/01/2024,01PAVGSOL_G01,N,N,N,4022.869,4022.869,5880.0838,4022.869,4022.869
08/01/2024,01PETRON_G01,N,N,N,4021.1739,4021.1739,5636.7253,4021.1739,4021.1739
08/01/2024,01PETSOL_G01,N,N,N,4250.0108,4250.0108,5386.3986,4250.0108,4250.0108
08/01/2024,01PETSOL_G02,N,N,N,4250.0108,4250.0108,5386.3986,4250.0108,4250.0108
08/01/2024,01PNTBNG_SS,N,N,N,4252.9772,4252.9772,5177.4591,4252.9772,4252.9772
08/01/2024,01PNTBNG_U01,N,N,N,4252.9772,4252.9772,5405.2308,4252.9772,4252.9772
08/01/2024,01PNTBNG_U02,N,N,N,4252.9772,4252.9772,5405.2308,4252.9772,4252.9772
08/01/2024,01RASLAG_G01,N,N,N,4250.8584,4250.8584,5375.385,4250.8584,4250.8584
08/01/2024,01RASLAG_G02,N,N,N,4250.8584,4250.8584,5375.385,4250.8584,4250.8584
08/01/2024,01RASLAG_G03,N,N,N,4250.8584,4250.8584,5375.385,4250.8584,4250.8584
08/01/2024,01SABANG_G01,N,N,N,4189.8352,4189.8352,4807.0036,4189.8352,4189.8352
